backend	dataset	grid_rows	grid_cols	iterations	epochs	sigma	learning_rate	neighborhood_function	batch_size	train_len_factor	initialization	mapshape	pareto_fraction	n_threshold_steps	threshold_anchor	n_clusters	n_assigned	n_wrong	purity	coverage	paper_score	elapsed_s
sompy	twodiamonds	50	60							3.0	pca		0.2013	200	upper	3	749	372	0.5033	0.9363	0.6322	43.8
sompy	twodiamonds	40	50							3.0	pca		0.25	100	upper	1	749	371	0.5047	0.9363	0.6327	15.5
sompy	twodiamonds	30	40							3.0	pca		0.25	100	upper	1	721	358	0.5035	0.9012	0.6218	4.5
sompy	twodiamonds	50	60							3.0	pca		0.25	100	upper	1	758	379	0.5000	0.9475	0.6342	43.5
sompy	twodiamonds	40	50							3.0	pca		0.25	200	upper	3	730	361	0.5055	0.9125	0.6259	15.8
sompy	twodiamonds	30	40							3.0	pca		0.25	200	upper	1	711	352	0.5049	0.8888	0.6186	4.6
sompy	twodiamonds	50	60							3.0	pca		0.25	200	upper	3	749	372	0.5033	0.9363	0.6322	43.6
sompy	twodiamonds	40	50							3.0	random		0.15	100	upper	5	648	315	0.5139	0.8100	0.4486	17.5
sompy	twodiamonds	30	40							3.0	random		0.15	100	upper	2	580	283	0.5121	0.7250	0.7223	5.0
sompy	twodiamonds	50	60							3.0	random		0.15	100	upper	7	719	359	0.5007	0.8988	0.4699	49.6
sompy	twodiamonds	40	50							3.0	random		0.15	200	upper	4	643	315	0.5101	0.8037	0.4452	18.7
sompy	twodiamonds	30	40							3.0	random		0.15	200	upper	2	579	282	0.5130	0.7238	0.7223	5.4
sompy	twodiamonds	50	60							3.0	random		0.15	200	upper	8	709	353	0.5021	0.8862	0.4667	49.6
sompy	twodiamonds	40	50							3.0	random		0.2013	100	upper	5	648	315	0.5139	0.8100	0.4486	17.7
sompy	twodiamonds	30	40							3.0	random		0.2013	100	upper	2	580	283	0.5121	0.7250	0.7223	5.1
sompy	twodiamonds	50	60							3.0	random		0.2013	100	upper	7	719	359	0.5007	0.8988	0.4699	50.0
sompy	twodiamonds	40	50							3.0	random		0.2013	200	upper	4	643	315	0.5101	0.8037	0.4452	17.8
sompy	twodiamonds	30	40							3.0	random		0.2013	200	upper	2	579	282	0.5130	0.7238	0.7223	5.1
sompy	twodiamonds	50	60							3.0	random		0.2013	200	upper	8	709	353	0.5021	0.8862	0.4667	49.5
sompy	twodiamonds	40	50							3.0	random		0.25	100	upper	5	648	315	0.5139	0.8100	0.4486	17.6
sompy	twodiamonds	30	40							3.0	random		0.25	100	upper	2	580	283	0.5121	0.7250	0.7223	5.1
sompy	twodiamonds	50	60							3.0	random		0.25	100	upper	7	719	359	0.5007	0.8988	0.4699	49.2
sompy	twodiamonds	40	50							3.0	random		0.25	200	upper	4	643	315	0.5101	0.8037	0.4452	17.8
sompy	twodiamonds	30	40							3.0	random		0.25	200	upper	2	579	282	0.5130	0.7238	0.7223	5.1
sompy	twodiamonds	50	60							3.0	random		0.25	200	upper	8	709	353	0.5021	0.8862	0.4667	49.6
sompy	twodiamonds	40	50							8.0	pca		0.15	100	upper	1	748	374	0.5000	0.9350	0.6305	41.3
sompy	twodiamonds	30	40							8.0	pca		0.15	100	upper	1	710	348	0.5099	0.8875	0.6202	11.9
sompy	twodiamonds	50	60							8.0	pca		0.15	100	upper	4	758	374	0.5066	0.9475	0.4869	115.7
sompy	twodiamonds	40	50							8.0	pca		0.15	200	upper	3	731	363	0.5034	0.9137	0.6255	40.9
sompy	twodiamonds	30	40							8.0	pca		0.15	200	upper	1	709	348	0.5092	0.8862	0.6195	11.8
sompy	twodiamonds	50	60							8.0	pca		0.15	200	upper	4	757	374	0.5059	0.9463	0.4863	114.5
sompy	twodiamonds	40	50							8.0	pca		0.2013	100	upper	1	748	374	0.5000	0.9350	0.6305	40.7
sompy	twodiamonds	30	40							8.0	pca		0.2013	100	upper	1	710	348	0.5099	0.8875	0.6202	11.8
sompy	twodiamonds	50	60							8.0	pca		0.2013	100	upper	4	758	374	0.5066	0.9475	0.4869	114.4
sompy	twodiamonds	40	50							8.0	pca		0.2013	200	upper	3	731	363	0.5034	0.9137	0.6255	41.1
sompy	twodiamonds	30	40							8.0	pca		0.2013	200	upper	1	709	348	0.5092	0.8862	0.6195	11.9
sompy	twodiamonds	50	60							8.0	pca		0.2013	200	upper	4	757	374	0.5059	0.9463	0.4863	114.7
sompy	twodiamonds	40	50							8.0	pca		0.25	100	upper	1	748	374	0.5000	0.9350	0.6305	40.8
sompy	twodiamonds	30	40							8.0	pca		0.25	100	upper	1	710	348	0.5099	0.8875	0.6202	11.8
sompy	twodiamonds	50	60							8.0	pca		0.25	100	upper	4	758	374	0.5066	0.9475	0.4869	114.4
sompy	twodiamonds	40	50							8.0	pca		0.25	200	upper	3	731	363	0.5034	0.9137	0.6255	41.1
sompy	twodiamonds	30	40							8.0	pca		0.25	200	upper	1	709	348	0.5092	0.8862	0.6195	11.8
sompy	twodiamonds	50	60							8.0	pca		0.25	200	upper	4	757	374	0.5059	0.9463	0.4863	114.7
sompy	twodiamonds	40	50							8.0	random		0.15	100	upper	2	667	326	0.5112	0.8337	0.7546	46.9
sompy	twodiamonds	30	40							8.0	random		0.15	100	upper	2	565	279	0.5062	0.7063	0.7144	13.3
sompy	twodiamonds	50	60							8.0	random		0.15	100	upper	8	714	357	0.5000	0.8925	0.4677	130.0
sompy	twodiamonds	40	50							8.0	random		0.15	200	upper	4	650	316	0.5138	0.8125	0.4493	46.4
sompy	twodiamonds	30	40							8.0	random		0.15	200	upper	4	558	258	0.5376	0.6975	0.4243	13.3
sompy	twodiamonds	50	60							8.0	random		0.15	200	upper	9	711	356	0.4993	0.8888	0.4663	131.6
